,rho,beta0,beta1,beta2,phi,sigma,Ifit,IUQ,nRuns,region
1-0,0.009999999999999995,257.6610707297848,-0.6803880774388817,1.8058145697024504,0.43793579917803344,0.6351368555403442,1.109558575202605,1.0684635457485463,1,GIC
1-1,0.009999999999999995,266.34554914936155,-0.2570667339982073,1.5790250791815583,0.2753897956428214,0.6887904452483422,1.0739461377465103,0.8583825728871242,1,NWN
1-2,0.854080961663414,262.03305155289763,0.7517399174502057,0.72979242848701,-0.034156912612395805,0.6219938056247092,1.080953166864129,0.9937612803116392,1,NEN
1-3,0.8169938706726634,280.71325936253737,1.330811052951342,-0.4225029461647615,-0.1786135795607955,0.5061937589978036,1.051178918020993,0.9350574575217825,1,WNA
1-4,0.010000023374168675,284.3621895671962,-0.1909764206525667,1.1103925072266498,-0.07485112602611114,0.6067118740413336,1.0502276485976525,1.000936826862818,1,CNA
1-5,0.24448551205098834,285.5447288978791,0.08811342726808542,0.7144354192026134,-0.13123730710824713,0.35976201913034334,1.0585799775980078,0.9978495560558556,1,ENA
1-6,0.10433441963254207,292.9970434788147,0.4509272739164733,0.3052147119694311,0.04661759788611496,0.2731349497466651,1.0772531339842604,0.9026667363553179,1,NCA
1-7,0.6975401178758545,298.4517008848683,-0.25898068682677855,0.8794769494793084,-0.04655186387857507,0.24012278756584846,1.0823482603744468,0.9367076891983191,1,SCA
1-8,0.7546887004433376,299.10588739224585,-0.21756690508239046,0.7191352472207951,0.17212580087734022,0.1930945982018849,1.1071636709293744,0.9679866281570885,1,CAR
1-9,0.8569910266142771,293.7588504327905,-0.3816850088549393,1.141808576085371,0.056604364299632635,0.3641304598540561,1.0717962181353071,1.0255136114200325,1,NWS
1-10,0.9075420468728544,296.7267921544043,-0.14979759047672192,1.0277464492313242,0.08755375901925523,0.36252445976980285,1.0692756202713638,1.0863293798513505,1,NSA
1-11,0.912070499604283,297.45313707953534,-0.3695438197363726,1.1651557258861367,0.12765493967970623,0.363452255294728,1.1220481310701937,0.9697189115357732,1,NES
1-12,0.8541486433759756,294.6038707958306,-0.3447920179762558,1.319411608737031,0.031783436693769956,0.4547731133684288,1.0941725535691273,0.9596809175749312,1,SAM
1-13,0.892019754509934,287.3214879496712,-0.6724946551054916,1.379823038786496,0.19159696506656032,0.2698877636113241,1.0781451300844278,0.8555960765650903,1,SWS
1-14,0.6297720247568939,291.1281490585527,-0.6763345581002393,1.4087653148017234,0.1961642481345718,0.24853206796480862,1.2066170288051592,0.8751483974647056,1,SES
1-15,0.923274453097959,281.5190602024161,-0.1493427274295211,0.704304675309203,0.12445959119854139,0.22852570956567048,1.0479667751027384,0.9330309009441564,1,SSA
1-16,0.3677788386463585,279.03584565140704,-0.29821466747333863,0.9382722821598581,0.23277324788803339,0.38770974988123125,1.0863345884012878,0.8513358701414521,1,NEU
1-17,0.009999999999999995,281.6206823655837,2.7017049981762082,-1.9152046149859638,0.13580212108380865,0.496038222941573,1.142677706590846,0.8956984273280238,1,WCE
1-18,0.01000000630911394,277.28306255912406,3.053017129797086,-2.0719887814946336,0.10889081599185811,0.846183411351154,1.0665204095680254,0.9642002901234887,1,EEU
1-19,0.9075476871676268,289.7334776173815,0.5370991039456587,0.26797157550149203,0.06853462439816642,0.22407967745303592,1.1005182880921347,0.8105405978205446,1,MED
1-20,0.8288540534209244,296.4462306292727,0.3474722336143404,0.5836259434851074,0.03644816654962733,0.3684178826502805,1.101853384580019,1.0244253750135437,1,SAH
1-21,0.8754583215773502,297.9760313932772,0.03211659395569589,0.6951089612222711,0.06183544269687078,0.26640736700252443,1.1050739904904585,0.9723231688901638,1,WAF
1-22,0.933939647919409,295.34864460682223,0.05766721365979448,0.7220019058728798,0.020327664512078628,0.2253519165386198,1.105697503274754,0.9757028764465373,1,CAF
1-23,0.009999999999999995,296.87628849391587,1.6439130890268365,-0.9888790837567144,0.21778505454346428,0.30096623871502715,1.1428729822692965,0.9656751040168283,1,NEAF
1-24,0.524177354967273,295.42796436013924,-0.23520026432740346,0.8803524857949833,0.02570631942602413,0.34196259108936644,1.0731245228025854,0.9672539928421909,1,SEAF
1-25,0.9514028248107486,292.99474757159896,0.1525604703220993,0.631908096850557,0.15181359017602522,0.25350823764196745,1.0739432470645864,1.018304097895474,1,WSAF
1-26,0.99,293.93626403157526,0.4557398544350637,0.6975743823445927,0.17222100047467892,0.3307965211419434,1.110354922743303,1.0227670044910433,1,ESAF
1-27,0.009999999999999995,296.8893037341154,-0.5699712775423962,1.1403193398959495,0.07336386313842692,0.24383615969244885,1.111958628316766,0.986587233385702,1,MDG
1-28,0.9410189403240445,257.98460765894964,-0.3340831617629672,2.220443024849637,0.14920352148790125,0.85975176836925,1.1792225533694483,1.0703392296339866,1,RAR
1-29,0.009999999999999995,272.84671210577955,2.367345345172599,-1.2406103124802832,0.09552920318618721,0.928200836251102,1.0788582714161026,0.939515230929259,1,WSB
