,rho,beta&a&b,phi,sigma,Ifit,nRuns,region,IUQ
1-0,0.0099999999999999,"[ 2.57661522e+02 -1.45479021e+00  2.58053858e+00 -1.06748606e+01
  1.55621380e+00  8.60978932e-02 -2.65049660e+00 -2.03956739e-01
 -6.72942403e-02]",0.4373721579507781,1.2326736522335096,1.2209593788349673,1,GIC,1.1948896808841187
1-1,0.0100000171020176,"[ 2.66269784e+02 -2.49192698e-01  1.57090325e+00 -1.59055318e+01
  7.39738179e-01 -1.73540987e-02 -1.80332971e+00 -9.06947585e-04
  4.72546127e-01]",0.3225601602303714,1.7028153548224607,1.1534085379091628,1,NWN,1.1462823593668667
1-2,0.8727784975200398,"[ 2.61954301e+02  7.09909621e-01  7.81970661e-01 -1.63026372e+01
 -1.85996063e-01 -2.06345462e-01 -5.02031120e+00 -7.67877283e-01
 -9.41523099e-02]",0.4207315287807686,1.5780389131579984,1.4688956163083964,1,NEN,1.3770297775561633
1-3,0.2794881426829004,"[ 2.80744922e+02  8.27975029e-01  9.40294969e-02 -1.22264722e+01
  5.26966043e-01 -1.67470089e-01 -1.08840603e+00  1.29132572e+00
  5.43141336e-02]",0.3143294966987386,1.2329808606769157,1.0630234896690414,1,WNA,1.0366639858428388
1-4,0.0616302218533867,"[ 2.84282414e+02  2.80635955e-02  8.92049018e-01 -1.35826732e+01
 -8.03787599e-01 -5.03333574e-02 -8.75602846e-01  1.21699593e+00
 -1.69307612e-01]",0.2994846941782,1.5361953560192043,1.0485392340511437,1,CNA,1.1102124655680086
1-5,0.104804692254478,"[ 2.85489583e+02 -2.26785329e-02  8.25959709e-01 -9.29081214e+00
 -6.11061485e-01 -1.45587842e-01 -1.73299306e+00  2.13254766e-01
 -3.12104727e-02]",0.2255801920158813,0.9486206852092834,1.0508486103964263,1,ENA,1.166833731124525
1-6,0.179605737699701,"[ 2.92971881e+02  4.48149215e-01  3.07842072e-01 -6.01717836e+00
 -3.90890454e-01  8.19822837e-03 -8.70252835e-01  5.78565625e-01
  5.40384277e-02]",0.4297105474507756,0.5402180513849474,1.0682986126418887,1,NCA,0.967161919357473
1-7,0.5984170566284767,"[ 2.98407081e+02 -1.82454862e-01  7.97786147e-01 -1.44639080e+00
 -3.67925251e-01  9.18232963e-03 -2.49293087e-01 -1.86551710e-01
 -5.23625767e-02]",0.744283656166597,0.2508117137126051,1.0769812914509975,1,SCA,1.0333642997913852
1-8,0.78343462553831,"[ 2.99060629e+02  7.61543719e-02  4.19251361e-01 -1.02791800e+00
 -1.10217173e-01  2.25638569e-03 -1.10497036e+00 -1.20860694e-01
  4.13668796e-03]",0.8839497631833123,0.1100623588923845,1.0758441872421682,1,CAR,0.9895256437921586
1-9,0.8726014029407039,"[ 2.93886922e+02 -6.37539761e-01  1.40951542e+00  2.08649428e-01
 -3.11860691e-01  6.68152427e-02  2.45421707e-01  2.87602407e-01
  8.07831116e-03]",0.893051958909278,0.2223667245861564,1.0902316760989552,1,NWS,1.0241296343677548
